Date,Open,High,Low,Close,Volume
2012-05-24,22.3878,22.5046,21.7103,22.2955,1103203.4316532
2012-05-25,22.3931,22.7832,22.1303,22.5319,1130426.2892764
2012-05-28,22.7226,22.8482,22.3931,22.4932,997596.36080643
2012-05-29,22.56,23.0468,22.4739,23.0064,611948.1257254
2012-05-30,22.7955,22.9203,21.9326,22.56,1132256.2443393
2012-05-31,22.3272,22.5899,21.8596,21.9001,2706454.6025771
2012-06-01,22.0627,22.0627,21.3131,21.4063,2582146.2558922
2012-06-04,21.4265,21.9862,21.2086,21.7604,805348.65635007
2012-06-05,21.9326,21.9326,21.0908,21.0908,1042234.5183841
2012-06-06,21.3202,21.6031,20.7077,21.5038,1922518.0137067
2012-06-08,21.0767,21.6365,20.9248,21.6365,2667106.016599
2012-06-11,21.8008,22.3878,21.669,22.0627,2355486.7472131
2012-06-12,22.0969,23.118,22.0442,22.7226,2007604.0959383
2012-06-13,22.8228,23.053,22.5899,23.0389,1187586.2102599
2012-06-14,23.0319,23.1769,22.763,23.1769,985544.6045157
2012-06-15,23.2507,23.9747,23.0468,23.7436,3327321.4831703
2012-06-18,24.0072,24.1733,23.0855,23.4809,907259.40005496
2012-06-19,23.6452,24.4229,23.5459,24.1056,1457954.1045724
2012-06-20,24.132,24.4879,23.9747,24.3244,1505809.4779229
2012-06-21,23.7296,24.2778,23.5986,24.1838,1540616.1791648
2012-06-22,23.7576,23.9747,23.7436,23.8438,824090.90133138
2012-06-25,23.8438,23.9352,23.5134,23.5793,993040.81968917
2012-06-26,23.7094,24.2383,23.5599,24.0731,2934397.8110764
2012-06-27,24.0468,24.2436,23.7436,23.9089,3718744.0913788
2012-06-28,24.0072,24.1733,23.8034,24.0397,1552123.9562764
2012-06-29,24.1733,24.8974,24.1733,24.6399,1703157.8407074
2012-07-02,24.2383,25.0151,24.2383,24.8974,864409.09036518
2012-07-03,24.5011,25.1926,24.5011,24.8974,1104386.9846789
2012-07-04,25.0274,25.5485,24.6988,25.2322,1217564.2427632
2012-07-05,25.2269,25.9439,25.0933,25.2902,2623633.2035389
2012-07-06,25.4229,25.6206,25.0933,25.4826,1759497.2407951
2012-07-09,25.4229,25.5564,25.0274,25.1873,1164715.1860696
2012-07-10,25.1873,25.3569,25.0414,25.3569,1494253.9034775
2012-07-11,25.1733,25.2585,24.8886,24.9633,1986419.6348097
2012-07-12,24.8315,24.8315,24.3693,24.4343,1278326.0342528
2012-07-13,24.4545,24.6197,24.4026,24.5678,954123.54774639
2012-07-16,24.6328,25.1004,24.4484,25.0933,787251.67537414
2012-07-17,25.153,25.153,24.6988,24.6988,2483152.2875767
2012-07-18,24.6988,25.0608,24.2585,24.6988,574137.02064897
